# Design from a REFERENCE database, for targets the sample cannot meet.
# These pairs ARE NOT confirmed against the sample; only whether the sample
# supports them at all is measured.
#
# The list was widened on 2026-08-01. The reason is what the level check
# measured:
#   Bacteroidaceae_ailesi     amplifies 0 of 65 Bacteroides species
#   Alistipes_cinsi           amplifies 0 of 22 Alistipes species
#   Podospora_pseudopauciseta gives no product in the target species and
#                             amplifies its sibling species instead
#   Microascaceae/Trichoderma what it amplifies in the target species is
#                             Petriella musispora
#
# The database column now takes more than one file, comma separated. The
# competitor set is not limited to what is written by hand: the other species of
# the target's genus are found FROM THE DATA and added (the
# --sibling-competitors option of design_from_reference.py, on by default). In
# the earlier version the Podospora design was made with 29 competitor sequences
# while the level check's verification panel held 242 records across 50 species,
# and that difference was exactly the cause of the failure. So the hand written
# sibling species names, Podospora anserina and comata among them, were TAKEN OUT
# of the list: they are found from the data now, and a hand written list can be
# incomplete and therefore gives false confidence. What stays by hand is only the
# competitors from OTHER genera.
ad	sinif	veritabani	ic	dis	taxid
Methanosarcina_barkeri_referans	A1	archaea.16S.fna	Methanosarcina barkeri	Methanothrix soehngenii,Methanoculleus,Methanocorpusculum,Methanobrevibacter,Methanofollis,Nitrosocosmicus	2208
Proteiniphilum_cinsi_referans	B	bacteria.16S.fna	Proteiniphilum saccharofermentans,Proteiniphilum acetatigenes	Petrimonas,Bacteroides,Alistipes,Sphaerochaeta,Cloacibacillus,Dysgonomonas,Parabacteroides,Fermentimonas	2829812,1642647
Podospora_pseudopauciseta_referans	F1	fungi.ITS.fna,UNITE_ITS.fasta	Podospora pseudopauciseta	Trichoderma,Botrytis,Metarhizium,Schizosaccharomyces,Colletotrichum,Petriella	2093780
Bacteroidaceae_ailesi_referans	B	bacteria.16S.fna	Bacteroides	Parabacteroides,Acetobacteroides,Pdegerlendiricieicola,Alistipes,Petrimonas,Proteiniphilum,Dysgonomonas,Prevotella,Fermentimonas	818,28116
Alistipes_cinsi_referans	B	bacteria.16S.fna	Alistipes	Bacteroides,Parabacteroides,Pdegerlendiricieicola,Dysgonomonas,Petrimonas,Proteiniphilum,Prevotella,Fermentimonas	214856
Microascaceae_askomikot_referans	F2	fungi.ITS.fna,UNITE_ITS.fasta	Trichoderma asperellum	Petriella,Metarhizium,Botrytis,Colletotrichum,Podospora	101201
Petriella_musispora_referans	F2	fungi.ITS.fna,fungi.28SrRNA.fna,UNITE_ITS.fasta	Petriella musispora	Trichoderma,Podospora,Metarhizium,Botrytis,Colletotrichum	101201,2034170,63577
Proteolitik_Cloacibacillus_referans	B	bacteria.16S.fna	Cloacibacillus porcorum,Cloacibacillus evryensis	Bacteroides,Alistipes,Petrimonas,Proteiniphilum,Sphaerochaeta,Dysgonomonas,Parabacteroides	1197717
Sakarolitik_Sphaerochaeta_referans	B	bacteria.16S.fna	Sphaerochaeta	Treponema,Bacteroides,Alistipes,Petrimonas,Proteiniphilum,Dysgonomonas	1129264
